CFG1[ADLSMP],CFG2[ADACKEN],CFG1[ADICLK],ADCK,bus clock,extra_us,CFG2[ADLSTS],ADCK_lst_adder,CFG2[ADHSC],ADCK_hsc_adder,SC3[AVGE],SC3[AVGS],AverageNum,Bit-width,Mode,ADCK_bct
0,1,1,5,5,0,0,0,1,2,0,0,1,8,single-ended,17
0,1,1,5,5,0,1,0,1,2,0,0,1,8,single-ended,17
0,1,1,5,5,0,2,0,1,2,0,0,1,8,single-ended,17
0,1,1,5,5,0,3,0,1,2,0,0,1,8,single-ended,17
0,1,2,5,5,0,0,0,1,2,0,0,1,8,single-ended,17
0,1,2,5,5,0,1,0,1,2,0,0,1,8,single-ended,17
0,1,2,5,5,0,2,0,1,2,0,0,1,8,single-ended,17
0,1,2,5,5,0,3,0,1,2,0,0,1,8,single-ended,17
0,1,3,5,5,0,0,0,1,2,0,0,1,8,single-ended,17
0,1,3,5,5,0,1,0,1,2,0,0,1,8,single-ended,17
0,1,3,5,5,0,2,0,1,2,0,0,1,8,single-ended,17
0,1,3,5,5,0,3,0,1,2,0,0,1,8,single-ended,17
1,0,0,3,5,0,0,20,1,2,0,0,1,8,single-ended,17
1,0,0,3,5,0,1,12,1,2,0,0,1,8,single-ended,17
1,0,0,3,5,0,2,6,1,2,0,0,1,8,single-ended,17
1,0,0,3,5,0,3,2,1,2,0,0,1,8,single-ended,17
1,0,1,3,5,0,0,20,1,2,0,0,1,8,single-ended,17
1,0,1,3,5,0,1,12,1,2,0,0,1,8,single-ended,17
1,0,1,3,5,0,2,6,1,2,0,0,1,8,single-ended,17
1,0,1,3,5,0,3,2,1,2,0,0,1,8,single-ended,17
1,0,2,3,5,0,0,20,1,2,0,0,1,8,single-ended,17
1,0,2,3,5,0,1,12,1,2,0,0,1,8,single-ended,17
1,0,2,3,5,0,2,6,1,2,0,0,1,8,single-ended,17
1,0,2,3,5,0,3,2,1,2,0,0,1,8,single-ended,17
1,1,0,3,5,0,0,20,1,2,0,0,1,8,single-ended,17
1,1,0,3,5,0,1,12,1,2,0,0,1,8,single-ended,17
1,1,0,3,5,0,2,6,1,2,0,0,1,8,single-ended,17
1,1,0,3,5,0,3,2,1,2,0,0,1,8,single-ended,17
1,1,1,3,5,0,0,20,1,2,0,0,1,8,single-ended,17
1,1,1,3,5,0,1,12,1,2,0,0,1,8,single-ended,17
1,1,1,3,5,0,2,6,1,2,0,0,1,8,single-ended,17
1,1,1,3,5,0,3,2,1,2,0,0,1,8,single-ended,17
1,1,2,3,5,0,0,20,1,2,0,0,1,8,single-ended,17
1,1,2,3,5,0,1,12,1,2,0,0,1,8,single-ended,17
1,1,2,3,5,0,2,6,1,2,0,0,1,8,single-ended,17
1,1,2,3,5,0,3,2,1,2,0,0,1,8,single-ended,17
1,1,3,3,5,0,0,20,1,2,0,0,1,8,single-ended,17
1,1,3,3,5,0,1,12,1,2,0,0,1,8,single-ended,17
1,1,3,3,5,0,2,6,1,2,0,0,1,8,single-ended,17
1,1,3,3,5,0,3,2,1,2,0,0,1,8,single-ended,17
1,0,3,3,5,5,0,20,1,2,0,0,1,8,single-ended,17
1,0,3,3,5,5,1,12,1,2,0,0,1,8,single-ended,17
1,0,3,3,5,5,2,6,1,2,0,0,1,8,single-ended,17
1,0,3,3,5,5,3,2,1,2,0,0,1,8,single-ended,17
0,0,0,5,5,0,0,0,0,0,0,1,1,8,single-ended,17
0,0,0,5,5,0,1,0,0,0,0,1,1,8,single-ended,17
0,0,0,5,5,0,2,0,0,0,0,1,1,8,single-ended,17
0,0,0,5,5,0,3,0,0,0,0,1,1,8,single-ended,17
0,0,1,5,5,0,0,0,0,0,0,1,1,8,single-ended,17
0,0,1,5,5,0,1,0,0,0,0,1,1,8,single-ended,17
0,0,1,5,5,0,2,0,0,0,0,1,1,8,single-ended,17
0,0,1,5,5,0,3,0,0,0,0,1,1,8,single-ended,17
0,0,2,5,5,0,0,0,0,0,0,1,1,8,single-ended,17
0,0,2,5,5,0,1,0,0,0,0,1,1,8,single-ended,17
0,0,2,5,5,0,2,0,0,0,0,1,1,8,single-ended,17
0,0,2,5,5,0,3,0,0,0,0,1,1,8,single-ended,17
0,1,0,5,5,0,0,0,0,0,0,1,1,8,single-ended,17
0,1,0,5,5,0,1,0,0,0,0,1,1,8,single-ended,17
0,1,0,5,5,0,2,0,0,0,0,1,1,8,single-ended,17
0,1,0,5,5,0,3,0,0,0,0,1,1,8,single-ended,17
0,1,1,5,5,0,0,0,0,0,0,1,1,8,single-ended,17
0,1,1,5,5,0,1,0,0,0,0,1,1,8,single-ended,17
0,1,1,5,5,0,2,0,0,0,0,1,1,8,single-ended,17
0,1,1,5,5,0,3,0,0,0,0,1,1,8,single-ended,17
0,1,2,5,5,0,0,0,0,0,0,1,1,8,single-ended,17
0,1,2,5,5,0,1,0,0,0,0,1,1,8,single-ended,17
0,1,2,5,5,0,2,0,0,0,0,1,1,8,single-ended,17
0,1,2,5,5,0,3,0,0,0,0,1,1,8,single-ended,17
0,1,3,5,5,0,0,0,0,0,0,1,1,8,single-ended,17
0,1,3,5,5,0,1,0,0,0,0,1,1,8,single-ended,17
0,1,3,5,5,0,2,0,0,0,0,1,1,8,single-ended,17
0,1,3,5,5,0,3,0,0,0,0,1,1,8,single-ended,17
1,0,0,3,5,0,0,20,0,0,0,1,1,8,single-ended,17
1,0,0,3,5,0,1,12,0,0,0,1,1,8,single-ended,17
1,0,0,3,5,0,2,6,0,0,0,1,1,8,single-ended,17
1,0,0,3,5,0,3,2,0,0,0,1,1,8,single-ended,17
1,0,1,3,5,0,0,20,0,0,0,1,1,8,single-ended,17
1,0,1,3,5,0,1,12,0,0,0,1,1,8,single-ended,17
1,0,1,3,5,0,2,6,0,0,0,1,1,8,single-ended,17
1,0,1,3,5,0,3,2,0,0,0,1,1,8,single-ended,17
1,0,2,3,5,0,0,20,0,0,0,1,1,8,single-ended,17
1,0,2,3,5,0,1,12,0,0,0,1,1,8,single-ended,17
1,0,2,3,5,0,2,6,0,0,0,1,1,8,single-ended,17
1,0,2,3,5,0,3,2,0,0,0,1,1,8,single-ended,17
1,1,0,3,5,0,0,20,0,0,0,1,1,8,single-ended,17
1,1,0,3,5,0,1,12,0,0,0,1,1,8,single-ended,17
1,1,0,3,5,0,2,6,0,0,0,1,1,8,single-ended,17
1,1,0,3,5,0,3,2,0,0,0,1,1,8,single-ended,17
1,1,1,3,5,0,0,20,0,0,0,1,1,8,single-ended,17
1,1,1,3,5,0,1,12,0,0,0,1,1,8,single-ended,17
1,1,1,3,5,0,2,6,0,0,0,1,1,8,single-ended,17
1,1,1,3,5,0,3,2,0,0,0,1,1,8,single-ended,17
1,1,2,3,5,0,0,20,0,0,0,1,1,8,single-ended,17
1,1,2,3,5,0,1,12,0,0,0,1,1,8,single-ended,17
1,1,2,3,5,0,2,6,0,0,0,1,1,8,single-ended,17
1,1,2,3,5,0,3,2,0,0,0,1,1,8,single-ended,17
1,1,3,3,5,0,0,20,0,0,0,1,1,8,single-ended,17
1,1,3,3,5,0,1,12,0,0,0,1,1,8,single-ended,17
1,1,3,3,5,0,2,6,0,0,0,1,1,8,single-ended,17
1,1,3,3,5,0,3,2,0,0,0,1,1,8,single-ended,17
1,0,3,3,5,5,0,20,0,0,0,1,1,8,single-ended,17
1,0,3,3,5,5,1,12,0,0,0,1,1,8,single-ended,17
1,0,3,3,5,5,2,6,0,0,0,1,1,8,single-ended,17
1,0,3,3,5,5,3,2,0,0,0,1,1,8,single-ended,17
0,0,0,5,5,0,0,0,1,2,0,1,1,8,single-ended,17
0,0,0,5,5,0,1,0,1,2,0,1,1,8,single-ended,17
0,0,0,5,5,0,2,0,1,2,0,1,1,8,single-ended,17
0,0,0,5,5,0,3,0,1,2,0,1,1,8,single-ended,17
0,0,1,5,5,0,0,0,1,2,0,1,1,8,single-ended,17
0,0,1,5,5,0,1,0,1,2,0,1,1,8,single-ended,17
0,0,1,5,5,0,2,0,1,2,0,1,1,8,single-ended,17
0,0,1,5,5,0,3,0,1,2,0,1,1,8,single-ended,17
0,0,2,5,5,0,0,0,1,2,0,1,1,8,single-ended,17
0,0,2,5,5,0,1,0,1,2,0,1,1,8,single-ended,17
0,0,2,5,5,0,2,0,1,2,0,1,1,8,single-ended,17
0,0,2,5,5,0,3,0,1,2,0,1,1,8,single-ended,17
0,1,0,5,5,0,0,0,1,2,0,1,1,8,single-ended,17
0,1,0,5,5,0,1,0,1,2,0,1,1,8,single-ended,17
0,1,0,5,5,0,2,0,1,2,0,1,1,8,single-ended,17
0,1,0,5,5,0,3,0,1,2,0,1,1,8,single-ended,17
0,1,1,5,5,0,0,0,1,2,0,1,1,8,single-ended,17
0,1,1,5,5,0,1,0,1,2,0,1,1,8,single-ended,17
0,1,1,5,5,0,2,0,1,2,0,1,1,8,single-ended,17
0,1,1,5,5,0,3,0,1,2,0,1,1,8,single-ended,17
0,1,2,5,5,0,0,0,1,2,0,1,1,8,single-ended,17
0,1,2,5,5,0,1,0,1,2,0,1,1,8,single-ended,17
0,1,2,5,5,0,2,0,1,2,0,1,1,8,single-ended,17
0,1,2,5,5,0,3,0,1,2,0,1,1,8,single-ended,17
0,1,3,5,5,0,0,0,1,2,0,1,1,8,single-ended,17
0,1,3,5,5,0,1,0,1,2,0,1,1,8,single-ended,17
0,1,3,5,5,0,2,0,1,2,0,1,1,8,single-ended,17
0,1,3,5,5,0,3,0,1,2,0,1,1,8,single-ended,17
1,0,0,3,5,0,0,20,1,2,0,1,1,8,single-ended,17
1,0,0,3,5,0,1,12,1,2,0,1,1,8,single-ended,17
1,0,0,3,5,0,2,6,1,2,0,1,1,8,single-ended,17
1,0,0,3,5,0,3,2,1,2,0,1,1,8,single-ended,17
1,0,1,3,5,0,0,20,1,2,0,1,1,8,single-ended,17
1,0,1,3,5,0,1,12,1,2,0,1,1,8,single-ended,17
1,0,1,3,5,0,2,6,1,2,0,1,1,8,single-ended,17
1,0,1,3,5,0,3,2,1,2,0,1,1,8,single-ended,17
1,0,2,3,5,0,0,20,1,2,0,1,1,8,single-ended,17
1,0,2,3,5,0,1,12,1,2,0,1,1,8,single-ended,17
1,0,2,3,5,0,2,6,1,2,0,1,1,8,single-ended,17
1,0,2,3,5,0,3,2,1,2,0,1,1,8,single-ended,17
1,1,0,3,5,0,0,20,1,2,0,1,1,8,single-ended,17
1,1,0,3,5,0,1,12,1,2,0,1,1,8,single-ended,17
1,1,0,3,5,0,2,6,1,2,0,1,1,8,single-ended,17
1,1,0,3,5,0,3,2,1,2,0,1,1,8,single-ended,17
1,1,1,3,5,0,0,20,1,2,0,1,1,8,single-ended,17
1,1,1,3,5,0,1,12,1,2,0,1,1,8,single-ended,17
1,1,1,3,5,0,2,6,1,2,0,1,1,8,single-ended,17
1,1,1,3,5,0,3,2,1,2,0,1,1,8,single-ended,17
1,1,2,3,5,0,0,20,1,2,0,1,1,8,single-ended,17
1,1,2,3,5,0,1,12,1,2,0,1,1,8,single-ended,17
1,1,2,3,5,0,2,6,1,2,0,1,1,8,single-ended,17
1,1,2,3,5,0,3,2,1,2,0,1,1,8,single-ended,17
1,1,3,3,5,0,0,20,1,2,0,1,1,8,single-ended,17
1,1,3,3,5,0,1,12,1,2,0,1,1,8,single-ended,17
1,1,3,3,5,0,2,6,1,2,0,1,1,8,single-ended,17
1,1,3,3,5,0,3,2,1,2,0,1,1,8,single-ended,17
1,0,3,3,5,5,0,20,1,2,0,1,1,8,single-ended,17
1,0,3,3,5,5,1,12,1,2,0,1,1,8,single-ended,17
1,0,3,3,5,5,2,6,1,2,0,1,1,8,single-ended,17
1,0,3,3,5,5,3,2,1,2,0,1,1,8,single-ended,17
0,0,0,5,5,0,0,0,0,0,0,2,1,8,single-ended,17
0,0,0,5,5,0,1,0,0,0,0,2,1,8,single-ended,17
0,0,0,5,5,0,2,0,0,0,0,2,1,8,single-ended,17
0,0,0,5,5,0,3,0,0,0,0,2,1,8,single-ended,17
0,0,1,5,5,0,0,0,0,0,0,2,1,8,single-ended,17
0,0,1,5,5,0,1,0,0,0,0,2,1,8,single-ended,17
0,0,1,5,5,0,2,0,0,0,0,2,1,8,single-ended,17
0,0,1,5,5,0,3,0,0,0,0,2,1,8,single-ended,17
0,0,2,5,5,0,0,0,0,0,0,2,1,8,single-ended,17
0,0,2,5,5,0,1,0,0,0,0,2,1,8,single-ended,17
0,0,2,5,5,0,2,0,0,0,0,2,1,8,single-ended,17
0,0,2,5,5,0,3,0,0,0,0,2,1,8,single-ended,17
0,1,0,5,5,0,0,0,0,0,0,2,1,8,single-ended,17
0,1,0,5,5,0,1,0,0,0,0,2,1,8,single-ended,17
0,1,0,5,5,0,2,0,0,0,0,2,1,8,single-ended,17
0,1,0,5,5,0,3,0,0,0,0,2,1,8,single-ended,17
0,1,1,5,5,0,0,0,0,0,0,2,1,8,single-ended,17
0,1,1,5,5,0,1,0,0,0,0,2,1,8,single-ended,17
0,1,1,5,5,0,2,0,0,0,0,2,1,8,single-ended,17
0,1,1,5,5,0,3,0,0,0,0,2,1,8,single-ended,17
0,1,2,5,5,0,0,0,0,0,0,2,1,8,single-ended,17
0,1,2,5,5,0,1,0,0,0,0,2,1,8,single-ended,17
0,1,2,5,5,0,2,0,0,0,0,2,1,8,single-ended,17
0,1,2,5,5,0,3,0,0,0,0,2,1,8,single-ended,17
0,1,3,5,5,0,0,0,0,0,0,2,1,8,single-ended,17
0,1,3,5,5,0,1,0,0,0,0,2,1,8,single-ended,17
0,1,3,5,5,0,2,0,0,0,0,2,1,8,single-ended,17
0,1,3,5,5,0,3,0,0,0,0,2,1,8,single-ended,17
1,0,0,3,5,0,0,20,0,0,0,2,1,8,single-ended,17
1,0,0,3,5,0,1,12,0,0,0,2,1,8,single-ended,17
1,0,0,3,5,0,2,6,0,0,0,2,1,8,single-ended,17
1,0,0,3,5,0,3,2,0,0,0,2,1,8,single-ended,17
1,0,1,3,5,0,0,20,0,0,0,2,1,8,single-ended,17
1,0,1,3,5,0,1,12,0,0,0,2,1,8,single-ended,17
1,0,1,3,5,0,2,6,0,0,0,2,1,8,single-ended,17
1,0,1,3,5,0,3,2,0,0,0,2,1,8,single-ended,17
1,0,2,3,5,0,0,20,0,0,0,2,1,8,single-ended,17
1,0,2,3,5,0,1,12,0,0,0,2,1,8,single-ended,17
1,0,2,3,5,0,2,6,0,0,0,2,1,8,single-ended,17
1,0,2,3,5,0,3,2,0,0,0,2,1,8,single-ended,17
1,1,0,3,5,0,0,20,0,0,0,2,1,8,single-ended,17
1,1,0,3,5,0,1,12,0,0,0,2,1,8,single-ended,17
1,1,0,3,5,0,2,6,0,0,0,2,1,8,single-ended,17
1,1,0,3,5,0,3,2,0,0,0,2,1,8,single-ended,17
1,1,1,3,5,0,0,20,0,0,0,2,1,8,single-ended,17
1,1,1,3,5,0,1,12,0,0,0,2,1,8,single-ended,17
1,1,1,3,5,0,2,6,0,0,0,2,1,8,single-ended,17
1,1,1,3,5,0,3,2,0,0,0,2,1,8,single-ended,17
1,1,2,3,5,0,0,20,0,0,0,2,1,8,single-ended,17
1,1,2,3,5,0,1,12,0,0,0,2,1,8,single-ended,17
1,1,2,3,5,0,2,6,0,0,0,2,1,8,single-ended,17
1,1,2,3,5,0,3,2,0,0,0,2,1,8,single-ended,17
1,1,3,3,5,0,0,20,0,0,0,2,1,8,single-ended,17
1,1,3,3,5,0,1,12,0,0,0,2,1,8,single-ended,17
1,1,3,3,5,0,2,6,0,0,0,2,1,8,single-ended,17
1,1,3,3,5,0,3,2,0,0,0,2,1,8,single-ended,17
1,0,3,3,5,5,0,20,0,0,0,2,1,8,single-ended,17
1,0,3,3,5,5,1,12,0,0,0,2,1,8,single-ended,17
1,0,3,3,5,5,2,6,0,0,0,2,1,8,single-ended,17
1,0,3,3,5,5,3,2,0,0,0,2,1,8,single-ended,17
0,0,0,5,5,0,0,0,1,2,0,2,1,8,single-ended,17
0,0,0,5,5,0,1,0,1,2,0,2,1,8,single-ended,17
0,0,0,5,5,0,2,0,1,2,0,2,1,8,single-ended,17
0,0,0,5,5,0,3,0,1,2,0,2,1,8,single-ended,17
0,0,1,5,5,0,0,0,1,2,0,2,1,8,single-ended,17
0,0,1,5,5,0,1,0,1,2,0,2,1,8,single-ended,17
0,0,1,5,5,0,2,0,1,2,0,2,1,8,single-ended,17
0,0,1,5,5,0,3,0,1,2,0,2,1,8,single-ended,17
0,0,2,5,5,0,0,0,1,2,0,2,1,8,single-ended,17
0,0,2,5,5,0,1,0,1,2,0,2,1,8,single-ended,17
0,0,2,5,5,0,2,0,1,2,0,2,1,8,single-ended,17
0,0,2,5,5,0,3,0,1,2,0,2,1,8,single-ended,17
0,1,0,5,5,0,0,0,1,2,0,2,1,8,single-ended,17
0,1,0,5,5,0,1,0,1,2,0,2,1,8,single-ended,17
0,1,0,5,5,0,2,0,1,2,0,2,1,8,single-ended,17
0,1,0,5,5,0,3,0,1,2,0,2,1,8,single-ended,17
0,1,1,5,5,0,0,0,1,2,0,2,1,8,single-ended,17
0,1,1,5,5,0,1,0,1,2,0,2,1,8,single-ended,17
0,1,1,5,5,0,2,0,1,2,0,2,1,8,single-ended,17
0,1,1,5,5,0,3,0,1,2,0,2,1,8,single-ended,17
0,1,2,5,5,0,0,0,1,2,0,2,1,8,single-ended,17
0,1,2,5,5,0,1,0,1,2,0,2,1,8,single-ended,17
0,1,2,5,5,0,2,0,1,2,0,2,1,8,single-ended,17
0,1,2,5,5,0,3,0,1,2,0,2,1,8,single-ended,17
0,1,3,5,5,0,0,0,1,2,0,2,1,8,single-ended,17
0,1,3,5,5,0,1,0,1,2,0,2,1,8,single-ended,17
0,1,3,5,5,0,2,0,1,2,0,2,1,8,single-ended,17
0,1,3,5,5,0,3,0,1,2,0,2,1,8,single-ended,17
1,0,0,3,5,0,0,20,1,2,0,2,1,8,single-ended,17
1,0,0,3,5,0,1,12,1,2,0,2,1,8,single-ended,17
1,0,0,3,5,0,2,6,1,2,0,2,1,8,single-ended,17
1,0,0,3,5,0,3,2,1,2,0,2,1,8,single-ended,17
1,0,1,3,5,0,0,20,1,2,0,2,1,8,single-ended,17
1,0,1,3,5,0,1,12,1,2,0,2,1,8,single-ended,17
1,0,1,3,5,0,2,6,1,2,0,2,1,8,single-ended,17
1,0,1,3,5,0,3,2,1,2,0,2,1,8,single-ended,17
1,0,2,3,5,0,0,20,1,2,0,2,1,8,single-ended,17
1,0,2,3,5,0,1,12,1,2,0,2,1,8,single-ended,17
1,0,2,3,5,0,2,6,1,2,0,2,1,8,single-ended,17
1,0,2,3,5,0,3,2,1,2,0,2,1,8,single-ended,17
1,1,0,3,5,0,0,20,1,2,0,2,1,8,single-ended,17
1,1,0,3,5,0,1,12,1,2,0,2,1,8,single-ended,17
1,1,0,3,5,0,2,6,1,2,0,2,1,8,single-ended,17
1,1,0,3,5,0,3,2,1,2,0,2,1,8,single-ended,17
1,1,1,3,5,0,0,20,1,2,0,2,1,8,single-ended,17
1,1,1,3,5,0,1,12,1,2,0,2,1,8,single-ended,17
1,1,1,3,5,0,2,6,1,2,0,2,1,8,single-ended,17
1,1,1,3,5,0,3,2,1,2,0,2,1,8,single-ended,17
1,1,2,3,5,0,0,20,1,2,0,2,1,8,single-ended,17
1,1,2,3,5,0,1,12,1,2,0,2,1,8,single-ended,17
1,1,2,3,5,0,2,6,1,2,0,2,1,8,single-ended,17
1,1,2,3,5,0,3,2,1,2,0,2,1,8,single-ended,17
1,1,3,3,5,0,0,20,1,2,0,2,1,8,single-ended,17
1,1,3,3,5,0,1,12,1,2,0,2,1,8,single-ended,17
1,1,3,3,5,0,2,6,1,2,0,2,1,8,single-ended,17
1,1,3,3,5,0,3,2,1,2,0,2,1,8,single-ended,17
1,0,3,3,5,5,0,20,1,2,0,2,1,8,single-ended,17
1,0,3,3,5,5,1,12,1,2,0,2,1,8,single-ended,17
1,0,3,3,5,5,2,6,1,2,0,2,1,8,single-ended,17
1,0,3,3,5,5,3,2,1,2,0,2,1,8,single-ended,17
0,0,0,5,5,0,0,0,0,0,0,3,1,8,single-ended,17
0,0,0,5,5,0,1,0,0,0,0,3,1,8,single-ended,17
0,0,0,5,5,0,2,0,0,0,0,3,1,8,single-ended,17
0,0,0,5,5,0,3,0,0,0,0,3,1,8,single-ended,17
0,0,1,5,5,0,0,0,0,0,0,3,1,8,single-ended,17
0,0,1,5,5,0,1,0,0,0,0,3,1,8,single-ended,17
0,0,1,5,5,0,2,0,0,0,0,3,1,8,single-ended,17
0,0,1,5,5,0,3,0,0,0,0,3,1,8,single-ended,17
0,0,2,5,5,0,0,0,0,0,0,3,1,8,single-ended,17
0,0,2,5,5,0,1,0,0,0,0,3,1,8,single-ended,17
0,0,2,5,5,0,2,0,0,0,0,3,1,8,single-ended,17
0,0,2,5,5,0,3,0,0,0,0,3,1,8,single-ended,17
0,1,0,5,5,0,0,0,0,0,0,3,1,8,single-ended,17
0,1,0,5,5,0,1,0,0,0,0,3,1,8,single-ended,17
0,1,0,5,5,0,2,0,0,0,0,3,1,8,single-ended,17
0,1,0,5,5,0,3,0,0,0,0,3,1,8,single-ended,17
0,1,1,5,5,0,0,0,0,0,0,3,1,8,single-ended,17
0,1,1,5,5,0,1,0,0,0,0,3,1,8,single-ended,17
0,1,1,5,5,0,2,0,0,0,0,3,1,8,single-ended,17
0,1,1,5,5,0,3,0,0,0,0,3,1,8,single-ended,17
0,1,2,5,5,0,0,0,0,0,0,3,1,8,single-ended,17
0,1,2,5,5,0,1,0,0,0,0,3,1,8,single-ended,17
0,1,2,5,5,0,2,0,0,0,0,3,1,8,single-ended,17
0,1,2,5,5,0,3,0,0,0,0,3,1,8,single-ended,17
0,1,3,5,5,0,0,0,0,0,0,3,1,8,single-ended,17
0,1,3,5,5,0,1,0,0,0,0,3,1,8,single-ended,17
0,1,3,5,5,0,2,0,0,0,0,3,1,8,single-ended,17
0,1,3,5,5,0,3,0,0,0,0,3,1,8,single-ended,17
1,0,0,3,5,0,0,20,0,0,0,3,1,8,single-ended,17
1,0,0,3,5,0,1,12,0,0,0,3,1,8,single-ended,17
1,0,0,3,5,0,2,6,0,0,0,3,1,8,single-ended,17
1,0,0,3,5,0,3,2,0,0,0,3,1,8,single-ended,17
